ID;description
3000486;12 02 TAPON TPR1 5 1/2 AB POR OP OP.C
3000487;ANALISIS DE AZUFRE TOTAL - ASTM D2420
3000488;MC-SS-5379 - SECUESTRANTE DE OXIGENO
3000489;HORA DE METAJE
3000490;SERVICIO DE PLOTEO DE PLANOS TAMANO A2
3000491;CAMBIO MANGUERA CON TOBERA EXTINTOR HCFC
3000492;TRANSPORTE EN CAMION DE VACIO 25 MT3
3000493;ESTUDIO DE RIESGO ALUVIONAL EN POZO
3000494;SERVICIO DE SOPORTE APLICATIVO
3000495;SERVICIO APLICACION PRODUCTOS QUIMICOS
3000496;SERVICIO TECNICO LABORATORISTA
3000497;SERV SUP PERFORACION - SENIOR - 7 X 7
3000498;SERVICIO CONTROL SISTEMAS CONTINUOS
3000499;CRUDO RECONSTITUIDO
3000500;ALQUILER MENSUAL DEPARTAMENTO NEUQUEN
3000501;SERVICIO RIEGO - MENSUAL
3000502;ADICIONAL BODEGA NUEVO REQUERIMIENTO
3000503;SERVICIO DE KM RECORRIDO PARA METAJE
3000504;PRUEBA HIDRAULICA EXTINTOR HCFC X 5 KG
3000505;REPARACION DE AIB
3000506;BASICO PUNZADO 2' 3000 PSI
3000507;TRANSPORTE HERRAMIENTA PESADA/TRAILER
3000508;MX-5-1836 - SURFACTANTE LAV DE FILTROS
3000509;DESEMULSIONANTE EXP 3365A
3000510;DISPERSANTE PARAFINAS SPEC-AID CDC9630
3000511;SISTEMA BIOPILAS
3000512;ADICIONAL HORMIGON OF. 1/2 OF.
3000513;DTM EN EXCESO DE 30 KM
3000514;ALQUILER PORTACONTENEDOR
3000515;HORA ESPERA SIN PERSONAL PULLING
3000516;PILETA DE FRACTURA ADICIONAL
3000517;DTM DE 10 KM A 15 KM
3000518;ALQUILER DE PILETA ADICIONAL
3000519;CABEZA ROTATIAVA 2.5 EXCESO DE KM
3000520;TELAS DE ZARANDA
3000521;FLUIDO DE FRACTURA GEL SLICKWATER
3000522;DESPARAFINACION ASIST EQ DE TORRE BOMBEO
3000523;DTM HASTA 15 KM
3000524;BACTERICIDA
3000525;COMPLETACION INGENIERO ESTIMULACION
3000526;IINHIBIDOR DE ARCILLA
3000527;SURFACTANTE
3000528;FLUIDO DE FRACTURA GEL LINEAL
3000529;CAMION PORTACONTENEDOR 4X2 12HS DIURNAS
3000530;COMPLETACION - MOV/DEMOV
3000531;COMPLETACION AUXILIARES
3000532;12 04 TAPON TPR1 9 5/8 AF ALQ TEMP MENS
3000533;FLUIDO DE FRACTURA GEL XL-(20L)
3000534;ACIDO CLORHIDRICO 15%
3000535;SERVICIO DE COILED TUBING
3000536;DETERMINACION ASFALTENOS
3000537;ANALISIS CALIDAD DE AIRE (COMPLETO)
3000538;ANALISIS MUESTREO ANUAL DIAS CAMPO
3000539;MOTOR DE FONDO 2 7/8'
3000540;CONTROL DE PLAGAS - ALMACENES
3000541;MEDICION PARAMETROS COMPLETA DE AGUA
3000542;INSTALACION ANTENA 900 MHZ
3000543;TENDIDO DE LINEA DE BAJA TENSION A POZO
3000544;PROVISION ACERO INOXIDABLE AISI 316L
3000545;NORMALIZADO DE ALOJAMIENTOS 101 A 200 MM
3000546;CALIBRACION DE ROSEMOUNT 3051
3000547;CONTROL DE PLAGAS - SUM Y ARCHIVOS
